Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,-,-,-,1000,1000,-
2004-01-02,-,-,-,1007.13,1007.13,-
2004-01-05,-,-,-,998.13,998.13,-
2004-01-06,-,-,-,984.52,984.52,-
2004-01-07,-,-,-,974.54,974.54,-
2004-01-08,-,-,-,1002.71,1002.71,-
2004-01-09,-,-,-,1037.96,1037.96,-
2004-01-12,-,-,-,1021.31,1021.31,-
2004-01-13,-,-,-,1039.75,1039.75,-
2004-01-14,-,-,-,1060.89,1060.89,-
2004-01-15,-,-,-,1032.25,1032.25,-
2004-01-16,-,-,-,1007.22,1007.22,-
2004-01-19,-,-,-,1038.8,1038.8,-
2004-01-20,-,-,-,1018.06,1018.06,-
2004-01-21,-,-,-,959.67,959.67,-
2004-01-22,-,-,-,908.9,908.9,-
2004-01-23,-,-,-,970.11,970.11,-
2004-01-27,-,-,-,1011.74,1011.74,-
2004-01-28,-,-,-,999.54,999.54,-
2004-01-29,-,-,-,1008.33,1008.33,-
2004-01-30,-,-,-,995.49,995.49,-
2004-02-03,-,-,-,968.25,968.25,-
2004-02-04,-,-,-,1022.39,1022.39,-
2004-02-05,-,-,-,1006.47,1006.47,-
2004-02-06,-,-,-,1023.34,1023.34,-
2004-02-09,-,-,-,1049.44,1049.44,-
2004-02-10,-,-,-,1041.26,1041.26,-
2004-02-11,-,-,-,1052.25,1052.25,-
2004-02-12,-,-,-,1062.66,1062.66,-
2004-02-13,-,-,-,1075.35,1075.35,-
2004-02-16,-,-,-,1095.54,1095.54,-
2004-02-17,-,-,-,1087.87,1087.87,-
2004-02-18,-,-,-,1096.06,1096.06,-
2004-02-19,-,-,-,1064.58,1064.58,-
2004-02-20,-,-,-,1074.63,1074.63,-
2004-02-23,-,-,-,1035.47,1035.47,-
2004-02-24,-,-,-,1050.97,1050.97,-
2004-02-25,-,-,-,1023.67,1023.67,-
2004-02-26,-,-,-,1016.08,1016.08,-
2004-02-27,-,-,-,1031.13,1031.13,-
2004-03-01,-,-,-,1057.61,1057.61,-
2004-03-03,-,-,-,1088.54,1088.54,-
2004-03-04,-,-,-,1067.78,1067.78,-
2004-03-05,-,-,-,1081.35,1081.35,-
2004-03-08,-,-,-,1081.46,1081.46,-
2004-03-09,-,-,-,1064.78,1064.78,-
2004-03-10,-,-,-,1042.94,1042.94,-
2004-03-11,-,-,-,1009.76,1009.76,-
2004-03-12,-,-,-,1013.65,1013.65,-
2004-03-15,-,-,-,977.87,977.87,-
2004-03-16,-,-,-,967.68,967.68,-
2004-03-17,-,-,-,977.6,977.6,-
2004-03-18,-,-,-,956.58,956.58,-
2004-03-19,-,-,-,957.35,957.35,-
2004-03-22,-,-,-,920.76,920.76,-
2004-03-23,-,-,-,922.66,922.66,-
2004-03-24,-,-,-,934.07,934.07,-
2004-03-25,-,-,-,955.09,955.09,-
2004-03-26,-,-,-,976.74,976.74,-
2004-03-29,-,-,-,989.84,989.84,-
2004-03-30,-,-,-,978.2,978.2,-
2004-03-31,-,-,-,1005.92,1005.92,-
2004-04-01,-,-,-,1030.55,1030.55,-
2004-04-02,-,-,-,1032.65,1032.65,-
2004-04-05,-,-,-,1047.45,1047.45,-
2004-04-06,-,-,-,1036.69,1036.69,-
2004-04-07,-,-,-,1032.07,1032.07,-
2004-04-08,-,-,-,1042.77,1042.77,-
2004-04-12,-,-,-,1035.63,1035.63,-
2004-04-13,-,-,-,1046.51,1046.51,-
2004-04-15,-,-,-,1059.19,1059.19,-
2004-04-16,-,-,-,1060.83,1060.83,-
2004-04-17,-,-,-,1057.64,1057.64,-
2004-04-19,-,-,-,1045.26,1045.26,-
2004-04-20,-,-,-,1042.96,1042.96,-
2004-04-21,-,-,-,1071.24,1071.24,-
2004-04-22,-,-,-,1093.19,1093.19,-
2004-04-23,-,-,-,1090.19,1090.19,-
2004-04-27,-,-,-,1044.25,1044.25,-
2004-04-28,-,-,-,1049.01,1049.01,-
2004-04-29,-,-,-,1054.03,1054.03,-
2004-04-30,-,-,-,1034.47,1034.47,-
2004-05-03,-,-,-,1014.55,1014.55,-
2004-05-04,-,-,-,1033.83,1033.83,-
2004-05-05,-,-,-,1041.76,1041.76,-
2004-05-06,-,-,-,1055.23,1055.23,-
2004-05-07,-,-,-,1036.08,1036.08,-
2004-05-10,-,-,-,1014.22,1014.22,-
2004-05-11,-,-,-,965.67,965.67,-
2004-05-12,-,-,-,980.6,980.6,-
2004-05-13,-,-,-,978.63,978.63,-
2004-05-14,-,-,-,912.23,912.23,-
2004-05-17,-,-,-,835.67,835.67,-
2004-05-18,-,-,-,892.56,892.56,-
2004-05-19,-,-,-,922.23,922.23,-
2004-05-20,-,-,-,931.94,931.94,-
2004-05-21,-,-,-,927.16,927.16,-
2004-05-24,-,-,-,962.19,962.19,-
2004-05-25,-,-,-,946.85,946.85,-
2004-05-26,-,-,-,935.12,935.12,-
2004-05-27,-,-,-,929.93,929.93,-
2004-05-28,-,-,-,883.36,883.36,-
2004-05-31,-,-,-,854.54,854.54,-
2004-06-01,-,-,-,886.31,886.31,-
2004-06-02,-,-,-,888.45,888.45,-
2004-06-03,-,-,-,867.04,867.04,-
2004-06-04,-,-,-,878.3,878.3,-
2004-06-07,-,-,-,883.58,883.58,-
2004-06-08,-,-,-,897.45,897.45,-
2004-06-09,-,-,-,908.44,908.44,-
2004-06-10,-,-,-,901.52,901.52,-
2004-06-11,-,-,-,884.53,884.53,-
2004-06-14,-,-,-,875.38,875.38,-
2004-06-15,-,-,-,884.56,884.56,-
2004-06-16,-,-,-,874.58,874.58,-
2004-06-17,-,-,-,888.74,888.74,-
2004-06-18,-,-,-,879.8,879.8,-
2004-06-21,-,-,-,869.83,869.83,-
2004-06-22,-,-,-,862.48,862.48,-
2004-06-23,-,-,-,842.29,842.29,-
2004-06-24,-,-,-,857.92,857.92,-
2004-06-25,-,-,-,869.72,869.72,-
2004-06-28,-,-,-,881.09,881.09,-
2004-06-29,-,-,-,887.95,887.95,-
2004-06-30,-,-,-,890.47,890.47,-
2004-07-01,-,-,-,900.82,900.82,-
